ImageSize,Iter_1,Iter_2,Iter_3,Iter_4,Iter_5,Iter_6,Iter_7,Iter_8,Iter_9,Iter_10
800x600_SVGA,0.2104428,0.1901516,0.1967142,0.1936346,0.1930797,0.1924995,0.2085127,0.192969,0.1925183,0.1912321
1280x720_HD,0.3775191,0.3702601,0.3749032,0.3685257,0.3710168,0.3700295,0.385063,0.3876931,0.3910463,0.3810563
1920x1080_Full_HD,0.850009,0.9086764,0.9300739,0.9430318,0.9849517,0.9751846,0.894694,0.8768256,0.8796911,0.9401087
2048x1080_2K,1.0427972,1.0453667,1.0145872,1.0101637,1.1366753,1.2165474,0.998933,0.9815647,0.8993123,0.9579402
2560x1440_QHD,1.6286221,1.5313025,1.5067533,1.5041725,1.5135159,1.5079791,1.5792164,1.5195481,1.5296714,1.501418
3840x2160_4K,3.5343652,3.3915503,3.3794048,3.4008595,3.4100093,3.3814812,3.3635031,3.4509039,3.4197978,3.3883628
5120x2880_5K,6.2326999,6.1843474,6.0887103,6.0924914,6.083417,6.1855797,6.1177,6.0836269,6.1281076,6.1883474
7680x4320_8K,13.8676097,13.7545456,13.7710725,13.7291478,13.6429811,13.6679581,13.6250394,13.8812205,13.785244,14.0380557
