ImageSize,Iter_1,Iter_2,Iter_3
800x600_SVGA,0.3813376,0.1971255,0.1961959
1280x720_HD,0.3746332,0.3728543,0.3726898
1920x1080_Full_HD,0.8456076,0.8617304,0.8578258
2048x1080_2K,0.8931515,0.9008607,0.9150911
2560x1440_QHD,1.4838666,1.4826642,1.4953258
3840x2160_4K,3.3407698,3.4040717,3.402041
5120x2880_5K,6.0011393,5.9108214,5.9090256
7680x4320_8K,13.3695491,13.4430745,13.3274097
